variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,80000,80,1000,0.0,lookup_success,25,37.280801000000004,2.764886814126815,1.0838356311377115
node256_only,controlled_fanout,96000,96,1000,0.0,insert,25,15.351849,1.5771476085274436,0.6182418625427579
node256_only,controlled_fanout,96000,96,1000,0.0,lookup_absent,25,65.51450244,9.376192806410513,3.675467580112921
node256_only,controlled_fanout,96000,96,1000,0.0,lookup_success,25,37.42388648,1.0509230288236346,0.41196182729886477
node256_only,controlled_fanout,112000,112,1000,0.0,insert,25,14.75986552,1.735713523259938,0.6803997011178957
node256_only,controlled_fanout,112000,112,1000,0.0,lookup_absent,25,65.2504162,2.22854896006766,0.8735911923465227
node256_only,controlled_fanout,112000,112,1000,0.0,lookup_success,25,36.7739064,1.3615596511599906,0.5337313832547163
node256_only,controlled_fanout,120000,12,10000,0.0,insert,25,6.44287692,0.1316746285283412,0.051616454383109744
node256_only,controlled_fanout,120000,12,10000,0.0,lookup_absent,25,57.855219399999996,3.5977695118162796,1.4103256486319817
node256_only,controlled_fanout,120000,12,10000,0.0,lookup_success,25,15.89587436,0.7999332409594089,0.3135738304560883
node256_only,controlled_fanout,128000,128,1000,0.0,insert,25,14.2793762,2.1289300669950775,0.8345405862620703
node256_only,controlled_fanout,128000,128,1000,0.0,lookup_absent,25,65.17387688,1.6519826660858,0.6475772051056335
node256_only,controlled_fanout,128000,128,1000,0.0,lookup_success,25,36.07601124,1.6421567250884117,0.6437254362346574
node256_only,controlled_fanout,150000,15,10000,0.0,insert,25,6.6700377600000005,0.07257619065120464,0.028449866735272222
node256_only,controlled_fanout,150000,15,10000,0.0,lookup_absent,25,50.192668080000004,6.887172976381951,2.6997718067417247
node256_only,controlled_fanout,150000,15,10000,0.0,lookup_success,25,14.4869986,1.1178587955044903,0.4382006478377602
node256_only,controlled_fanout,160000,16,10000,0.0,insert,25,6.5862924,0.30848867473431396,0.12092756049585107
node256_only,controlled_fanout,160000,16,10000,0.0,lookup_absent,25,48.79832728,5.850945524044601,2.2935706454254836
node256_only,controlled_fanout,160000,16,10000,0.0,lookup_success,25,14.135646959999999,0.8429504472131144,0.33043657530754084
node256_only,controlled_fanout,160000,160,1000,0.0,insert,25,12.5879246,1.5765001539486125,0.6179880603478561
node256_only,controlled_fanout,160000,160,1000,0.0,lookup_absent,25,62.43600792,8.03407092669181,3.149355803263189
node256_only,controlled_fanout,160000,160,1000,0.0,lookup_success,25,32.19330384,3.999800731545173,1.5679218867657077
node256_only,controlled_fanout,170000,17,10000,0.0,insert,25,6.662942040000001,0.13120350648213136,0.05143177454099549
node256_only,controlled_fanout,170000,17,10000,0.0,lookup_absent,25,43.51752184,6.5361823639919985,2.562183486684863
node256_only,controlled_fanout,170000,17,10000,0.0,lookup_success,25,13.43079756,0.9988709497692502,0.3915574123095461
