variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count4_original4,words_fixture,32768,0,0,0,61.976000000000006,1173360.0,857474.0,2030834.0,16971.0,32768.0,7.666,22.0,0.0,15156.0,0.0,1746.0,0.0,69.0,0.0,0.0,4
count4_original4,words_fixture,65536,0,0,0,62.368,2354344.0,1733029.0,4087373.0,34424.0,65536.0,7.943,22.0,0.0,30923.0,0.0,3375.0,0.0,126.0,0.0,0.0,4
count4_original4,words_fixture,131072,0,0,0,62.448,4718304.0,3466906.0,8185210.0,68983.0,131072.0,7.931,22.0,0.0,62028.0,0.0,6689.0,0.0,266.0,0.0,0.0,4
count4_original4,words_fixture,235886,0,0,0,62.61200000000001,8501968.0,6267285.0,14769253.0,124256.0,235886.0,8.075,22.0,0.0,111616.0,0.0,12181.0,0.0,458.0,0.0,1.0,4
count5_4_16_32_64_256,dense_uint64,4096,0,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,5
count5_4_16_32_64_256,dense_uint64,8192,0,0,0,32.1,66352.0,196608.0,262960.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,5
count5_4_16_32_64_256,dense_uint64,16384,0,0,0,32.11,132880.0,393216.0,526096.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,5
count5_4_16_32_64_256,dense_uint64,32768,0,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,5
count5_4_16_32_64_256,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,5
count5_4_16_32_64_256,dense_uint64,131072,0,0,0,32.094,1060952.0,3145728.0,4206680.0,515.0,131072.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0,5
count5_4_16_32_64_256,dense_uint64,262144,0,0,0,32.094,2121848.0,6291456.0,8413304.0,1029.0,262144.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1028.0,5
count5_4_16_32_64_256,dense_uint64,524288,0,0,0,32.094,4243744.0,12582912.0,16826656.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,5
count5_4_16_32_64_256,dense_uint64,1048576,0,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,5
count5_4_16_32_64_256,sparse_uint64,4096,0,0,0,39.734,64448.0,98304.0,162752.0,385.0,4096.0,2.065,4.0,0.0,128.0,0.0,157.0,99.0,0.0,0.0,1.0,5
