variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
node32_keyarray,dense_uint64,65536,1,0,0,0,1,lookup_success,0.001763900,65536,37.154034,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,1,lookup_absent,0.000251600,65536,260.476947,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,2,insert,0.003973400,65536,16.493683,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,2,lookup_success,0.001726900,65536,37.950084,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,2,lookup_absent,0.000235100,65536,278.757975,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,3,insert,0.004167800,65536,15.724363,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,3,lookup_success,0.001727100,65536,37.945689,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,3,lookup_absent,0.000235500,65536,278.284501,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,4,insert,0.004034100,65536,16.245507,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,4,lookup_success,0.001730000,65536,37.882081,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,4,lookup_absent,0.000185100,65536,354.057267,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,5,insert,0.004308300,65536,15.211568,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,5,lookup_success,0.001756900,65536,37.302066,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
node32_keyarray,dense_uint64,65536,1,0,0,0,5,lookup_absent,0.000214400,65536,305.671640,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
