variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
count7_2_5_16_32_48_64_256,controlled_fanout,18000,18,1000,0,iter_full,25,285.03542452,9.90818021465863,15835.30136532,550.4544539440186,18000.0,3.884006644146183,215.7781459460553
count7_2_5_16_32_48_64_256,controlled_fanout,18000,18,1000,4,iter_prefix,25,150.04458748,4.799267453153598,8335810.41585256,266625.96717282163,18.0,1.8813128416362102,104517.37913174609
count7_2_5_16_32_48_64_256,controlled_fanout,20000,2,10000,0,iter_full,25,181.1798726,13.709794508959297,9058.993629,685.4897266027349,20000.0,5.3742394475120445,268.71197282827205
count7_2_5_16_32_48_64_256,controlled_fanout,20000,2,10000,4,iter_prefix,25,39.36786316,4.701508447295795,19683931.55176168,2350754.2504007504,2.0,1.8429913113399514,921495.6661570942
count7_2_5_16_32_48_64_256,controlled_fanout,24000,24,1000,0,iter_full,25,279.18547132,17.16207805183475,11632.72797196,715.0865839991983,24000.0,6.727534596319222,280.31394092768574
count7_2_5_16_32_48_64_256,controlled_fanout,24000,24,1000,4,iter_prefix,25,159.49557951999998,10.764037727790182,6645649.145816521,448501.5696496625,24.0,4.219502789293751,175812.6153026677
count7_2_5_16_32_48_64_256,controlled_fanout,30000,3,10000,0,iter_full,25,177.14932768,5.520721970435766,5904.97758856,184.0240646177683,30000.0,2.1641230124108204,72.13743333016517
count7_2_5_16_32_48_64_256,controlled_fanout,30000,3,10000,4,iter_prefix,25,48.32207196,3.808562570893485,16107357.344187839,1269520.8487800881,3.0,1.4929565277902461,497652.1727217945
count7_2_5_16_32_48_64_256,controlled_fanout,31000,31,1000,0,iter_full,25,289.95982816,16.15726030547042,9353.54284688,521.2019468751553,31000.0,6.333646039744404,204.31116317506087
count7_2_5_16_32_48_64_256,controlled_fanout,31000,31,1000,4,iter_prefix,25,182.28545472000002,9.211471456773497,5880175.956739239,297144.24069458136,31.0,3.6108968110552104,116480.5423522759
count7_2_5_16_32_48_64_256,controlled_fanout,32000,32,1000,0,iter_full,25,279.32446548,16.00070558533183,8728.88954632,500.0220496910805,32000.0,6.272276589450077,196.00864347890356
count7_2_5_16_32_48_64_256,controlled_fanout,32000,32,1000,4,iter_prefix,25,182.20266424000002,9.366840220169731,5693833.25761796,292713.75631293544,32.0,3.6718013663065343,114743.79247467068
count7_2_5_16_32_48_64_256,controlled_fanout,33000,33,1000,0,iter_full,25,136.19617892,3.4294946760044995,4127.1569385600005,103.92408358463648,33000.0,1.3443619129937638,40.7382407651775
count7_2_5_16_32_48_64_256,controlled_fanout,33000,33,1000,4,iter_prefix,25,103.25884244000001,7.790493260663012,3129055.83319884,236075.55265626498,33.0,3.0538733581799002,92541.61664125587
count7_2_5_16_32_48_64_256,controlled_fanout,34000,34,1000,0,iter_full,25,141.59489127999998,2.2356757476666713,4164.55562448,65.75517268254362,34000.0,0.8763848930853351,25.776027691557097
count7_2_5_16_32_48_64_256,controlled_fanout,34000,34,1000,4,iter_prefix,25,107.62566451999999,3.1016634235851828,3165460.7197281597,91225.39473656933,34.0,1.2158520620453916,35760.35473673518
count7_2_5_16_32_48_64_256,controlled_fanout,37000,37,1000,0,iter_full,25,148.96252032,1.6085431623360977,4026.0140647599997,43.4741402685054,37000.0,0.6305489196357503,17.041862985254117
count7_2_5_16_32_48_64_256,controlled_fanout,37000,37,1000,4,iter_prefix,25,117.44358832,4.545141109983363,3174151.03708028,122841.65282101686,37.0,1.7816953151134782,48153.92790583861
count7_2_5_16_32_48_64_256,controlled_fanout,40000,4,10000,0,iter_full,25,190.83699944,3.0437723005799757,4770.92498608,76.094309306108,40000.0,1.1931587418273506,29.828969247994337
count7_2_5_16_32_48_64_256,controlled_fanout,40000,4,10000,4,iter_prefix,25,57.66410872,5.744148659881581,14416027.15787092,1436037.1690833513,4.0,2.25170627467358,562926.5702806737
count7_2_5_16_32_48_64_256,controlled_fanout,40000,40,1000,0,iter_full,25,149.23055868,4.0529844885248725,3730.7639664400003,101.32461073960037,40000.0,1.58876991950175,39.71924740992334
count7_2_5_16_32_48_64_256,controlled_fanout,40000,40,1000,4,iter_prefix,25,118.88656796,7.59987447716098,2972164.20127092,189996.8646982212,40.0,2.979150795047104,74478.77096170271
count7_2_5_16_32_48_64_256,controlled_fanout,47000,47,1000,0,iter_full,25,160.17746208,3.734371389144881,3408.03110736,79.45471294570609,47000.0,1.4638735845447934,31.14624747471679
count7_2_5_16_32_48_64_256,controlled_fanout,47000,47,1000,4,iter_prefix,25,129.2594782,18.005347087613508,2750201.6636567996,383092.49250118755,47.0,7.0580960583444945,150172.25706046552
count7_2_5_16_32_48_64_256,controlled_fanout,48000,48,1000,0,iter_full,25,159.41419248,6.0478465950613085,3321.12900884,125.99680483300885,48000.0,2.370755865264033,49.39074749453947
