variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count2_node16_node256,words_fixture,65536,0,0,0.0,lookup_absent,10,122.88831669999999,7.64623376628317,4.73918478781431,2
count2_node16_node256,words_fixture,65536,0,0,0.0,lookup_success,10,6.1342329,2.181804510321646,1.3522964457215711,2
count2_node16_node256,words_fixture,235886,0,0,0.0,insert,20,2.26976075,0.140077924966925,0.06139185742513922,2
count2_node16_node256,words_fixture,235886,0,0,0.0,lookup_absent,20,138.7916503,10.3060089658989,4.516807578396562,2
count2_node16_node256,words_fixture,235886,0,0,0.0,lookup_success,20,2.33127095,0.15273980179910213,0.06694116961975685,2
count3_node4_node16_node256,dense_uint64,4096,0,0,0.0,insert,10,24.7092189,1.8146995325798243,1.124762423191855,3
count3_node4_node16_node256,dense_uint64,4096,0,0,0.0,lookup_absent,10,244.69069869999998,1.4069380477381903,0.8720292364902648,3
count3_node4_node16_node256,dense_uint64,4096,0,0,0.0,lookup_success,10,79.5652728,1.1940232006856115,0.7400632470771675,3
count3_node4_node16_node256,dense_uint64,16384,0,0,0.0,insert,10,20.9301181,3.610435296139186,2.2377709805710135,3
count3_node4_node16_node256,dense_uint64,16384,0,0,0.0,lookup_absent,10,233.18743869999997,43.385346199869964,26.89051616903789,3
count3_node4_node16_node256,dense_uint64,16384,0,0,0.0,lookup_success,10,56.177523699999995,6.698811685406202,4.151966498317244,3
count3_node4_node16_node256,dense_uint64,65536,0,0,0.0,insert,10,14.0119912,3.987752360114733,2.471634519724212,3
count3_node4_node16_node256,dense_uint64,65536,0,0,0.0,lookup_absent,10,253.3334262,25.73538982676407,15.950959871680515,3
count3_node4_node16_node256,dense_uint64,65536,0,0,0.0,lookup_success,10,30.140342800000003,11.58911381692659,7.183007161985468,3
count3_node4_node16_node256,dense_uint64,262144,0,0,0.0,insert,10,7.495386600000001,1.6775392489133998,1.0397495986153191,3
count3_node4_node16_node256,dense_uint64,262144,0,0,0.0,lookup_absent,10,163.4547666,5.166787123942072,3.2024078373899783,3
count3_node4_node16_node256,dense_uint64,262144,0,0,0.0,lookup_success,10,8.3924159,1.5779644175052059,0.978032478699395,3
count3_node4_node16_node256,dense_uint64,1048576,0,0,0.0,insert,10,2.9271179,0.04615265468096061,0.028605711735593193,3
count3_node4_node16_node256,dense_uint64,1048576,0,0,0.0,lookup_absent,10,189.5605969,12.17304061712539,7.544928742372152,3
count3_node4_node16_node256,dense_uint64,1048576,0,0,0.0,lookup_success,10,4.1753525,0.1374589338588482,0.08519792988355009,3
count3_node4_node16_node256,sparse_uint64,4096,0,0,0.0,insert,10,10.9765709,1.6059568172679592,0.9953823478225495,3
count3_node4_node16_node256,sparse_uint64,4096,0,0,0.0,lookup_absent,10,102.6769257,5.452581057574723,3.379544752650661,3
count3_node4_node16_node256,sparse_uint64,4096,0,0,0.0,lookup_success,10,49.4776765,1.9783568931171263,1.2261983061611044,3
count3_node4_node16_node256,sparse_uint64,16384,0,0,0.0,insert,10,13.490995100000001,1.8984612883990175,1.1766784973157434,3
count3_node4_node16_node256,sparse_uint64,16384,0,0,0.0,lookup_absent,10,121.97236459999999,4.245400962583791,2.631326777997467,3
count3_node4_node16_node256,sparse_uint64,16384,0,0,0.0,lookup_success,10,44.190833600000005,2.04569393225815,1.267934235418303,3
count3_node4_node16_node256,sparse_uint64,65536,0,0,0.0,insert,10,11.078962299999999,1.5247249111769534,0.9450342908053507,3
count3_node4_node16_node256,sparse_uint64,65536,0,0,0.0,lookup_absent,10,55.4242117,3.7296541465058133,2.3116635895793407,3
count3_node4_node16_node256,sparse_uint64,65536,0,0,0.0,lookup_success,10,26.1749481,2.349069055698942,1.4559680850178005,3
count3_node4_node16_node256,sparse_uint64,262144,0,0,0.0,insert,10,4.1007001,0.8121751427070465,0.5033913687456055,3
count3_node4_node16_node256,sparse_uint64,262144,0,0,0.0,lookup_absent,10,29.143778500000003,2.9964296607721237,1.857206344999018,3
count3_node4_node16_node256,sparse_uint64,262144,0,0,0.0,lookup_success,10,6.0828143,0.6033579895685752,0.373965156333375,3
count3_node4_node16_node256,sparse_uint64,1048576,0,0,0.0,insert,10,2.3787115,0.1231300178269115,0.0763167757153546,3
count3_node4_node16_node256,sparse_uint64,1048576,0,0,0.0,lookup_absent,10,17.163576499999998,1.6460559457321164,1.020236045136897,3
count3_node4_node16_node256,sparse_uint64,1048576,0,0,0.0,lookup_success,10,3.6456755999999997,0.12116544159142253,0.07509911874928245,3
count3_node4_node16_node256,uuid_fixture,4096,0,0,0.0,insert,10,9.3367599,1.1678648613663838,0.7238501403941331,3
count3_node4_node16_node256,uuid_fixture,4096,0,0,0.0,lookup_absent,10,316.7694457,41.140073051240144,25.498881453735848,3
count3_node4_node16_node256,uuid_fixture,4096,0,0,0.0,lookup_success,10,31.774087400000003,2.6640630978413475,1.6512034150382013,3
count3_node4_node16_node256,uuid_fixture,16384,0,0,0.0,insert,10,8.6140288,0.6117176212087478,0.37914650970443414,3
count3_node4_node16_node256,uuid_fixture,16384,0,0,0.0,lookup_absent,10,306.1708019,43.47298368250243,26.944834443528215,3
count3_node4_node16_node256,uuid_fixture,16384,0,0,0.0,lookup_success,10,22.0603836,2.2660201561085604,1.404493843762059,3
count3_node4_node16_node256,uuid_fixture,65536,0,0,0.0,insert,10,6.2943842000000005,0.783710328696175,0.4857486942379098,3
count3_node4_node16_node256,uuid_fixture,65536,0,0,0.0,lookup_absent,10,134.31705970000002,13.403454981823549,8.307547466586263,3
count3_node4_node16_node256,uuid_fixture,65536,0,0,0.0,lookup_success,10,14.795497500000002,3.3475946331341073,2.0748606498372713,3
count3_node4_node16_node256,uuid_fixture,100000,0,0,0.0,insert,20,4.487822599999999,0.46091820160167923,0.2020063084462682,3
count3_node4_node16_node256,uuid_fixture,100000,0,0,0.0,lookup_absent,20,134.02302534999998,6.339982035899959,2.778619638446364,3
count3_node4_node16_node256,uuid_fixture,100000,0,0,0.0,lookup_success,20,7.87258145,1.3680342652030812,0.5995674520584408,3
count3_node4_node16_node256,words_fixture,4096,0,0,0.0,insert,10,7.3833259,0.3685104414267589,0.228405137946675,3
count3_node4_node16_node256,words_fixture,4096,0,0,0.0,lookup_absent,10,289.4266999,28.097548124669707,17.415040753069196,3
